price,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,instant_bookable,host_is_superhost,host_identity_verified,bathrooms
401.0,Back Bay,Entire home/apt,Entire rental unit,4,2.0,2.0,1,365,23,12,3.83,4.83,1,0.0,1.0,1.5
426.0,Back Bay,Entire home/apt,Entire rental unit,5,3.0,3.0,1,365,36,7,2.02,4.43,1,0.0,1.0,1.5
347.0,Back Bay,Entire home/apt,Entire rental unit,4,1.0,2.0,1,365,37,17,4.68,5.0,1,1.0,1.0,1.0
201.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,1,365,23,12,3.24,4.42,1,0.0,1.0,1.0
282.0,South Boston,Entire home/apt,Entire rental unit,4,2.0,2.0,1,365,79,13,3.51,4.92,1,1.0,1.0,1.0
275.0,South Boston,Entire home/apt,Entire rental unit,4,2.0,3.0,1,365,88,9,2.39,4.89,1,1.0,1.0,1.0
271.0,South Boston,Entire home/apt,Entire rental unit,4,2.0,2.0,1,365,86,11,2.95,4.82,1,1.0,1.0,1.0
232.0,Back Bay,Entire home/apt,Entire rental unit,2,1.0,1.0,1,365,233,9,2.41,5.0,1,0.0,1.0,1.0
91.0,Dorchester,Private room,Private room in rental unit,1,1.0,1.0,1,365,263,1,0.29,5.0,1,1.0,0.0,1.0
309.0,Downtown,Entire home/apt,Entire rental unit,3,1.0,1.0,1,365,314,19,5.0,4.68,0,1.0,1.0,1.0
91.0,Dorchester,Private room,Private room in rental unit,1,1.0,1.0,3,365,324,5,1.19,4.8,1,1.0,0.0,1.0
91.0,Dorchester,Private room,Private room in rental unit,1,1.0,1.0,3,1125,332,13,3.17,4.92,1,1.0,0.0,1.0
520.0,Downtown,Entire home/apt,Entire rental unit,5,2.0,4.0,3,30,245,8,2.4,4.25,1,0.0,1.0,2.0
179.0,Hyde Park,Entire home/apt,Entire rental unit,5,3.0,3.0,2,1125,325,8,3.04,5.0,1,0.0,0.0,1.0
384.0,Allston,Entire home/apt,Entire rental unit,6,2.0,2.0,29,365,360,27,6.86,4.93,0,1.0,1.0,2.0
297.0,Fenway,Entire home/apt,Entire rental unit,5,2.0,2.0,1,365,2,32,7.87,4.78,0,1.0,1.0,1.0
297.0,Fenway,Entire home/apt,Entire rental unit,5,2.0,2.0,1,365,323,30,7.32,4.93,1,1.0,1.0,1.0
249.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,31,1125,146,0,,,1,0.0,1.0,1.0
264.0,South Boston Waterfront,Entire home/apt,Entire rental unit,3,1.0,1.0,30,730,325,0,,,1,0.0,1.0,1.0
275.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,31,1125,286,0,,,1,0.0,1.0,1.0
305.0,Fenway,Entire home/apt,Entire rental unit,2,1.0,1.0,31,1125,271,0,,,1,0.0,1.0,1.0
200.0,Mattapan,Entire home/apt,Entire rental unit,15,3.0,9.0,1,28,268,11,2.87,4.73,1,1.0,1.0,2.0
397.0,Jamaica Plain,Entire home/apt,Entire home,6,3.0,3.0,3,1125,183,4,1.56,5.0,1,1.0,1.0,2.0
336.0,South End,Entire home/apt,Entire rental unit,4,1.0,1.0,29,730,89,0,,,0,,1.0,2.0
231.0,East Boston,Entire home/apt,Entire condo,2,2.0,2.0,2,90,245,8,3.29,4.88,1,0.0,0.0,1.0
271.0,Downtown,Entire home/apt,Entire rental unit,7,2.0,9.0,29,90,182,2,0.5,5.0,1,1.0,1.0,2.0
191.0,Downtown,Entire home/apt,Entire rental unit,3,0.0,2.0,1,365,297,15,4.95,4.93,0,1.0,1.0,1.0
273.0,South Boston Waterfront,Entire home/apt,Entire rental unit,3,1.0,1.0,30,730,299,0,,,1,0.0,1.0,1.0
387.0,South Boston Waterfront,Entire home/apt,Entire rental unit,5,2.0,2.0,30,730,287,0,,,1,0.0,1.0,2.0
255.0,South Boston Waterfront,Entire home/apt,Entire rental unit,3,1.0,2.0,30,730,328,0,,,1,0.0,1.0,1.0
375.0,South Boston Waterfront,Entire home/apt,Entire rental unit,5,2.0,2.0,30,730,343,0,,,1,0.0,1.0,2.0
287.0,South Boston Waterfront,Entire home/apt,Entire rental unit,3,1.0,1.0,30,730,321,0,,,1,0.0,1.0,1.0
375.0,South Boston Waterfront,Entire home/apt,Entire rental unit,5,2.0,3.0,30,730,344,0,,,1,0.0,1.0,2.0
363.0,Downtown,Entire home/apt,Entire rental unit,4,1.0,1.0,30,730,270,5,1.43,4.8,0,0.0,1.0,1.0
208.0,Dorchester,Entire home/apt,Entire home,7,3.0,4.0,2,365,309,0,,,1,0.0,1.0,1.0
71.0,Roslindale,Entire home/apt,Entire guest suite,2,1.0,1.0,91,91,266,0,,,0,0.0,1.0,1.0
48.0,Dorchester,Private room,Private room in rental unit,1,1.0,1.0,91,365,296,0,,,0,,1.0,1.0
260.0,Downtown,Entire home/apt,Entire rental unit,4,1.0,1.0,2,730,331,9,2.43,4.67,0,,1.0,1.5
332.0,Back Bay,Entire home/apt,Entire rental unit,3,1.0,1.0,30,730,243,0,,,0,0.0,1.0,1.0
291.0,Back Bay,Entire home/apt,Entire rental unit,3,1.0,1.0,30,730,309,0,,,0,0.0,1.0,1.0
304.0,Back Bay,Entire home/apt,Entire rental unit,3,1.0,1.0,30,730,314,0,,,0,0.0,1.0,1.0
305.0,Back Bay,Entire home/apt,Entire rental unit,3,1.0,1.0,30,730,293,0,,,0,0.0,1.0,1.0
349.0,Back Bay,Entire home/apt,Entire rental unit,6,2.0,3.0,2,1125,61,5,1.85,5.0,0,0.0,1.0,1.5
379.0,Back Bay,Entire home/apt,Entire rental unit,2,1.0,1.0,2,730,51,5,1.63,3.6,0,0.0,1.0,1.0
493.0,Downtown,Entire home/apt,Entire rental unit,5,2.0,3.0,4,365,267,4,1.69,5.0,1,0.0,1.0,2.0
485.0,Jamaica Plain,Entire home/apt,Entire rental unit,6,2.0,3.0,29,365,336,7,1.98,4.86,1,0.0,1.0,2.0
235.0,South End,Entire home/apt,Entire rental unit,2,1.0,1.0,1,14,350,1,0.36,5.0,1,0.0,1.0,1.0
341.0,Fenway,Entire home/apt,Entire rental unit,4,2.0,2.0,2,365,291,15,4.09,5.0,0,1.0,1.0,1.0
94.0,Roxbury,Shared room,Shared room in rental unit,2,2.0,2.0,1,365,110,1,1.0,5.0,0,,1.0,2.5
538.0,Dorchester,Entire home/apt,Entire home,15,6.0,7.0,2,365,120,6,1.88,4.83,1,0.0,1.0,2.0
